P_Username,P_Password,P_distributionCenter,P_shipToCustomer
oe_petest.user002,Cardinal1,11,2052011613
oe_petest.user003,Cardinal1,11,2052013556
oe_petest.user002,Cardinal1,11,2052014119
oe_petest.user003,Cardinal1,11,2057191517
oe_petest.user002,Cardinal1,11,2057191558
oe_petest.user003,Cardinal1,11,2057195731
oe_petest.user002,Cardinal1,16,2150229626
oe_petest.user003,Cardinal1,24,2150132420
oe_petest.user002,Cardinal1,24,2150132421
oe_petest.user003,Cardinal1,24,2150224891
oe_petest.user002,Cardinal1,24,2150224894
oe_petest.user003,Cardinal1,24,2150224898
oe_petest.user002,Cardinal1,24,2150224900
oe_petest.user003,Cardinal1,24,2150224901
oe_petest.user002,Cardinal1,24,2150224902
oe_petest.user003,Cardinal1,34,2057196345
oe_petest.user002,Cardinal1,34,2150132362
oe_petest.user003,Cardinal1,9,2150135199
